"origine";"destination";"premiereclasse";"secondeclasse";"loisir2nd";"Commentaires"
"1";"AEROPORT CDG 2 TGV ROISSY";"AGDE";"162";25;"116";""
"2";"AEROPORT CDG 2 TGV ROISSY";"AIME LA PLAGNE";"161";25;"118";""
"3";"AEROPORT CDG 2 TGV ROISSY";"AIX LES BAINS LE REVARD";"136";25;"103";""
"4";"AEROPORT CDG 2 TGV ROISSY";"ALBERTVILLE";"154";25;"115";""
"5";"AEROPORT CDG 2 TGV ROISSY";"ANNECY";"140";25;"104";""
"6";"AEROPORT CDG 2 TGV ROISSY";"ANNEMASSE";"152";25;"108";""
"7";"AEROPORT CDG 2 TGV ROISSY";"ANTIBES";"185";25;"132";""
"8";"AEROPORT CDG 2 TGV ROISSY";"ARRAS";"61";15;"50";""
"9";"AEROPORT CDG 2 TGV ROISSY";"AURAY";"127";20;"91";"Tarifs applicables aux circulations jusqu'au 1er juillet 2017"
"10";"AEROPORT CDG 2 TGV ROISSY";"BAYONNE";"147";25;"112";""
"11";"AEROPORT CDG 2 TGV ROISSY";"BELFORT-MONTBELIARD TGV";"126";20;"97";""
"12";"AEROPORT CDG 2 TGV ROISSY";"BELLEGARDE";"129";25;"91";""
"13";"AEROPORT CDG 2 TGV ROISSY";"BESANCON FRANCHE-COMTE TGV";"111";20;"83";""
"14";"AEROPORT CDG 2 TGV ROISSY";"BOURG ST MAURICE";"161";25;"118";""
"15";"AEROPORT CDG 2 TGV ROISSY";"DOUAI";"66";15;"52";""
"16";"AEROPORT CDG 2 TGV ROISSY";"ECOLE VALENTIN";"111";NA;"83";""
"17";"AEROPORT CDG 2 TGV ROISSY";"EVIAN LES BAINS";"152";25;"108";""
"18";"AEROPORT CDG 2 TGV ROISSY";"FUTUROSCOPE";"107";20;"75";"Tarifs applicables aux circulations jusqu'au 1er juillet 2017"
"19";"AEROPORT CDG 2 TGV ROISSY";"LANDERNEAU";"131";20;"92";"Tarifs applicables aux circulations jusqu'au 1er juillet 2017"
"20";"AEROPORT CDG 2 TGV ROISSY";"LE CREUSOT MONTCEAU MONTCHANIN";"114";20;"82";""
"21";"AEROPORT CDG 2 TGV ROISSY";"LES ARCS DRAGUIGNAN";"185";25;"132";""
"22";"AEROPORT CDG 2 TGV ROISSY";"LIBOURNE";"126";20;"96";"Tarifs applicables aux circulations jusqu'au 1er juillet 2017"
"23";"AEROPORT CDG 2 TGV ROISSY";"LISIEUX";"63";15;"51";""
"24";"AEROPORT CDG 2 TGV ROISSY";"MANTES LA JOLIE";"47";NA;"35";""
"25";"AEROPORT CDG 2 TGV ROISSY";"MARMANDE";"140";25;"108";""
"26";"AEROPORT CDG 2 TGV ROISSY";"MARSEILLE ST CHARLES";"162";25;"116";""
"27";"AEROPORT CDG 2 TGV ROISSY";"MASSY PALAISEAU";"47";NA;"35";""
"28";"AEROPORT CDG 2 TGV ROISSY";"MONTAUBAN VILLE BOURBON";"142";25;"109";""
"29";"AEROPORT CDG 2 TGV ROISSY";"MONTPELLIER";"160";25;"114";""
"30";"AEROPORT CDG 2 TGV ROISSY";"MORLAIX";"127";20;"91";"Tarifs applicables aux circulations jusqu'au 1er juillet 2017"
"31";"AEROPORT CDG 2 TGV ROISSY";"MOUTIERS SALINS BRIDES";"159";25;"118";""
"32";"AEROPORT CDG 2 TGV ROISSY";"NANTES";"122";20;"85";"Tarifs applicables aux circulations jusqu'au 1er juillet 2017"
"33";"AEROPORT CDG 2 TGV ROISSY";"NARBONNE";"162";25;"116";""
"34";"AEROPORT CDG 2 TGV ROISSY";"NICE VILLE";"185";25;"132";""
"35";"AEROPORT CDG 2 TGV ROISSY";"NIORT";"118";20;"84";""
"36";"AEROPORT CDG 2 TGV ROISSY";"PERPIGNAN";"175";25;"124";""
"37";"AEROPORT CDG 2 TGV ROISSY";"POITIERS";"107";20;"75";"Tarifs applicables aux circulations jusqu'au 1er juillet 2017"
"38";"AEROPORT CDG 2 TGV ROISSY";"QUIMPER";"134";20;"95";"Tarifs applicables aux circulations jusqu'au 1er juillet 2017"
"39";"AEROPORT CDG 2 TGV ROISSY";"REDON";"122";20;"84";"Tarifs applicables aux circulations jusqu'au 1er juillet 2017"
"40";"AEROPORT CDG 2 TGV ROISSY";"RENNES";"113";20;"80";"Tarifs applicables aux circulations jusqu'au 1er juillet 2017"
"41";"AEROPORT CDG 2 TGV ROISSY";"ROSPORDEN";"134";20;"95";"Tarifs applicables aux circulations jusqu'au 1er juillet 2017"
"42";"AEROPORT CDG 2 TGV ROISSY";"ROUEN RIVE DROITE";"48";15;"40";""
"43";"AEROPORT CDG 2 TGV ROISSY";"SALLANCHES COMBLOUX MEGEVE";"163";25;"119";""
"44";"AEROPORT CDG 2 TGV ROISSY";"SAVENAY";"122";20;"85";""
"45";"AEROPORT CDG 2 TGV ROISSY";"SAVERNE";"124";NA;"85";""
"46";"AEROPORT CDG 2 TGV ROISSY";"SETE";"162";25;"116";""
"47";"AEROPORT CDG 2 TGV ROISSY";"ST BRIEUC";"122";20;"84";""
"48";"AEROPORT CDG 2 TGV ROISSY";"ST GERVAIS LES BAINS LE FAYET";"163";25;"119";""
"49";"AEROPORT CDG 2 TGV ROISSY";"ST JEAN DE LUZ CIBOURE";"147";25;"112";""
"50";"AEROPORT CDG 2 TGV ROISSY";"ST MALO";"123";20;"85";"Tarifs applicables aux circulations jusqu'au 1er juillet 2017"
"51";"AEROPORT CDG 2 TGV ROISSY";"ST MICHEL VALLOIRE";"154";25;"113";""
"52";"AEROPORT CDG 2 TGV ROISSY";"ST NAZAIRE";"125";25;"86";"Tarifs applicables aux circulations jusqu'au 1er juillet 2017"
"53";"AEROPORT CDG 2 TGV ROISSY";"ST PIERRE DES CORPS";"89";15;"65";""
"54";"AEROPORT CDG 2 TGV ROISSY";"ST RAPHAEL VALESCURE";"185";25;"132";""
"55";"AEROPORT CDG 2 TGV ROISSY";"TGV HAUTE PICARDIE";"50";NA;"45";""
"56";"AEROPORT CDG 2 TGV ROISSY";"THONON LES BAINS";"152";25;"108";""
"57";"AEROPORT CDG 2 TGV ROISSY";"TOULON";"166";25;"121";""
"58";"AEROPORT CDG 2 TGV ROISSY";"TOULOUSE MATABIAU";"162";25;"116";""
"59";"AEROPORT CDG 2 TGV ROISSY";"VALENCE";"143";25;"103";""
"60";"AEROPORT CDG 2 TGV ROISSY";"VALENCE TGV";"147";25;"107";""
"61";"AEROPORT CDG 2 TGV ROISSY";"VANNES";"123";20;"88";"Tarifs applicables aux circulations jusqu'au 1er juillet 2017"
"62";"AEROPORT CDG 2 TGV ROISSY";"VIERZON VILLE";"78";20;"62";""
"63";"AEROPORT CDG 2 TGV ROISSY";"AURAY";"140";20;"100";"Tarifs applicables aux circulations à partir du 2 juillet 2017"
"64";"AEROPORT CDG 2 TGV ROISSY";"FUTUROSCOPE";"113";20;"79";"Tarifs applicables aux circulations à partir du 2 juillet 2017"
"65";"AEROPORT CDG 2 TGV ROISSY";"LANDERNEAU";"142";20;"100";"Tarifs applicables aux circulations à partir du 2 juillet 2017"
"66";"AEROPORT CDG 2 TGV ROISSY";"LIBOURNE";"133";20;"99";"Tarifs applicables aux circulations à partir du 2 juillet 2017"
"67";"AEROPORT CDG 2 TGV ROISSY";"MORLAIX";"138";20;"99";"Tarifs applicables aux circulations à partir du 2 juillet 2017"
"68";"AEROPORT CDG 2 TGV ROISSY";"NANTES";"127";20;"88";"Tarifs applicables aux circulations à partir du 2 juillet 2017"
"69";"AEROPORT CDG 2 TGV ROISSY";"POITIERS";"113";20;"79";"Tarifs applicables aux circulations à partir du 2 juillet 2017"
"70";"AEROPORT CDG 2 TGV ROISSY";"QUIMPER";"147";20;"103";"Tarifs applicables aux circulations à partir du 2 juillet 2017"
"71";"AEROPORT CDG 2 TGV ROISSY";"REDON";"136";20;"94";"Tarifs applicables aux circulations à partir du 2 juillet 2017"
"72";"AEROPORT CDG 2 TGV ROISSY";"RENNES";"131";20;"93";"Tarifs applicables aux circulations à partir du 2 juillet 2017"
"73";"AEROPORT CDG 2 TGV ROISSY";"ROSPORDEN";"147";20;"103";"Tarifs applicables aux circulations à partir du 2 juillet 2017"
"74";"AEROPORT CDG 2 TGV ROISSY";"ST MALO";"138";20;"95";"Tarifs applicables aux circulations à partir du 2 juillet 2017"
"75";"AEROPORT CDG 2 TGV ROISSY";"ST NAZAIRE";"128";25;"88";"Tarifs applicables aux circulations à partir du 2 juillet 2017"
"76";"AEROPORT CDG 2 TGV ROISSY";"VANNES";"136";20;"97";"Tarifs applicables aux circulations à partir du 2 juillet 2017"
"77";"AGDE";"BEAUNE";"124";20;"84";""
"78";"AGDE";"carcassonne";"31";NA;"20,5";""
"79";"AGDE";"CHALON SUR SAONE";"107";NA;"81";""
"80";"AGDE";"DOUAI";"188";30;"150";""
"81";"AGDE";"LE CREUSOT MONTCEAU MONTCHANIN";"110";25;"75";""
"82";"AGDE";"MASSY TGV";"162";25;"116";""
"83";"AGDE";"MONTELIMAR";"57";NA;"39";""
"84";"AGDE";"NARBONNE";"19";NA;"12,6";""
"85";"AGDE";"PARIS MONTPARNASSE";"162";25;"116";""
"86";"AGDE";"SETE";"11,5";NA;"7,5";""
"87";"AGDE";"TOULOUSE MATABIAU";"51";NA;"36";""
"88";"AGEN";"CHATELLERAULT";"85";NA;"60";"Tarifs applicables aux circulations à partir du 2 juillet 2017"
"89";"AGEN";"MASSY TGV";"173";25;"120";"Tarifs applicables aux circulations à partir du 2 juillet 2017"
"90";"AGEN";"PARIS MONTPARNASSE 1 ET 2";"173";25;"120";"Tarifs applicables aux circulations à partir du 2 juillet 2017"
"91";"AGEN";"RUFFEC CHARENTE";"65";NA;"45";"Tarifs applicables aux circulations à partir du 2 juillet 2017"
"92";"AGEN";"AEROPORT CDG 2 TGV ROISSY";"140";25;"108";""
"93";"AGEN";"ANGOULEME";"65";NA;"45";""
"94";"AGEN";"ARRAS";"174";30;"144";""
"95";"AGEN";"BEAUNE";"167";25;"105";""
"96";"AGEN";"BEZIERS";"72";15;"47";""
"97";"AGEN";"BORDEAUX ST JEAN";"40";NA;"26";""
"98";"AGEN";"CARCASSONNE";"54";NA;"37";""
"99";"AGEN";"CHALON SUR SAONE";"147";25;"109";""
"100";"AGEN";"CHATELLERAULT";"84";NA;"58";"Tarifs applicables aux circulations jusqu'au 1er juillet 2017"
"101";"AGEN";"DOUAI";"174";30;"144";""
"102";"AGEN";"FUTUROSCOPE";"85";NA;"60";""
"103";"AGEN";"LIBOURNE";"47";NA;"33";""
"104";"AGEN";"LILLE EUROPE";"174";30;"144";""
"105";"AGEN";"LYON PART DIEU";"139";25;"103";""
"106";"AGEN";"LYON ST EXUPERY";"139";25;"103";""
"107";"AGEN";"MACON VILLE";"147";25;"109";""
"108";"AGEN";"MARNE LA VALLEE CHESSY";"140";25;"108";""
"109";"AGEN";"MASSY TGV";"140";25;"108";"Tarifs applicables aux circulations jusqu'au 1er juillet 2017"
"110";"AGEN";"MONTAUBAN VILLE BOURBON";"24";NA;"16,5";""
"111";"AGEN";"MONTPELLIER";"84";20;"55";""
"112";"AGEN";"NARBONNE";"66";15;"44";""
"113";"AGEN";"NIMES";"85";20;"56";""
"114";"AGEN";"PARIS AUSTERLITZ";"140";25;"108";""
"115";"AGEN";"PARIS MONTPARNASSE 1 ET 2";"140";25;"108";"Tarifs applicables aux circulations jusqu'au 1er juillet 2017"
"116";"AGEN";"POITIERS";"84";NA;"58";""
"117";"AGEN";"RUFFEC CHARENTE";"63";NA;"43";"Tarifs applicables aux circulations jusqu'au 1er juillet 2017"
"118";"AGEN";"SETE";"79";NA;"53";""
"119";"AGEN";"ST PIERRE DES CORPS";"101";20;"69";""
"120";"AGEN";"TOULOUSE MATABIAU";"37";NA;"24";""
"121";"AGEN";"VALENCE";"119";25;"89";""
"122";"AGEN";"VALENCE TGV";"119";25;"89";""
"123";"AIME LA PLAGNE";"AIX LES BAINS LE REVARD";"31";NA;"21";""
"124";"AIME LA PLAGNE";"ALBERTVILLE";"21";NA;"14,6";""
"125";"AIME LA PLAGNE";"ARRAS";"167";25;"127";""
"126";"AIME LA PLAGNE";"AURAY";"179";30;"137";""
"127";"AIME LA PLAGNE";"BELFORT-MONTBELIARD TGV";"115";25;"92";""
"128";"AIME LA PLAGNE";"BERNAY";"165";25;"125";""
"129";"AIME LA PLAGNE";"BESANCON FRANCHE-COMTE TGV";"97";20;"78";""
"130";"AIME LA PLAGNE";"BOURG EN BRESSE";"37";NA;"27,5";""
"131";"AIME LA PLAGNE";"BOURG ST MAURICE";"7,8";NA;"5,4";""
"132";"AIME LA PLAGNE";"DOUAI";"167";25;"127";""
"133";"AIME LA PLAGNE";"ECOLE VALENTIN";"97";NA;"78";""
"134";"AIME LA PLAGNE";"LISIEUX";"165";25;"125";""
"135";"AIME LA PLAGNE";"MOUTIERS SALINS BRIDES";"10,5";NA;"6,7";""
"136";"AIME LA PLAGNE";"QUIMPER";"190";30;"147";""
"137";"AIME LA PLAGNE";"REDON";"179";30;"137";""
"138";"AIME LA PLAGNE";"RENNES";"170";25;"132";""
"139";"AIME LA PLAGNE";"ROUEN RIVE DROITE";"160";25;"121";""
"140";"AIME LA PLAGNE";"ST BRIEUC";"179";30;"137";""
"141";"AIME LA PLAGNE";"TGV HAUTE PICARDIE";"156";25;"119";""
"142";"AIME LA PLAGNE";"VANNES";"179";30;"137";""
"143";"AIX EN PROVENCE TGV";"RENNES";"188";30;"148";"Tarifs applicables aux circulations à partir du 2 juillet 2017"
"144";"AIX EN PROVENCE TGV";"ST PIERRE DES CORPS";"168";25;"125";"Tarifs applicables aux circulations à partir du 2 juillet 2017"
"145";"AIX EN PROVENCE TGV";"AEROPORT CDG 2 TGV ROISSY";"162";25;"116";""
"146";"AIX EN PROVENCE TGV";"AIX LES BAINS LE REVARD";"119";25;"89";""
"147";"AIX EN PROVENCE TGV";"ANNECY";"120";25;"91";""
"148";"AIX EN PROVENCE TGV";"ANTIBES";"55";NA;"39";""
"149";"AIX EN PROVENCE TGV";"ARRAS";"184";30;"144";""
"150";"AIX EN PROVENCE TGV";"AVIGNON TGV";"44";NA;"30";""
"151";"AIX EN PROVENCE TGV";"BELFORT-MONTBELIARD TGV";"161";20;"124";""
"152";"AIX EN PROVENCE TGV";"BELLEGARDE";"111";20;"77";""
"153";"AIX EN PROVENCE TGV";"BESANCON FRANCHE-COMTE TGV";"144";20;"111";""
"154";"AIX EN PROVENCE TGV";"BEZIERS";"61";NA;"46";""
"155";"AIX EN PROVENCE TGV";"BORDEAUX ST JEAN";"142";25;"107";""
"156";"AIX EN PROVENCE TGV";"BOURG EN BRESSE";"103";20;"79";""
"157";"AIX EN PROVENCE TGV";"CANNES";"54";NA;"38";""
"158";"AIX EN PROVENCE TGV";"CARCASSONNE";"75";15;"58";""
"159";"AIX EN PROVENCE TGV";"CHALON SUR SAONE";"113";20;"87";""
"160";"AIX EN PROVENCE TGV";"CHAMBERY CHALLES LES EAUX";"119";25;"89";""
"161";"AIX EN PROVENCE TGV";"CULMONT CHALINDREY";"140";25;"98";""
"162";"AIX EN PROVENCE TGV";"DOUAI";"184";30;"144";""
"163";"AIX EN PROVENCE TGV";"ECOLE VALENTIN";"144";NA;"111";""
"164";"AIX EN PROVENCE TGV";"GRENOBLE";"86";20;"65";""
"165";"AIX EN PROVENCE TGV";"HYERES";"31";NA;"21,5";""
"166";"AIX EN PROVENCE TGV";"LAROCHE MIGENNES";"137";25;"95";""
"167";"AIX EN PROVENCE TGV";"LE CREUSOT MONTCEAU MONTCHANIN";"118";25;"82";""
"168";"AIX EN PROVENCE TGV";"LES ARCS DRAGUIGNAN";"44";NA;"30";""
"169";"AIX EN PROVENCE TGV";"LILLE EUROPE";"184";30;"144";""
"170";"AIX EN PROVENCE TGV";"LONS LE SAUNIER";"113";20;"85";""
"171";"AIX EN PROVENCE TGV";"LYON PART DIEU";"89";20;"67";""
"172";"AIX EN PROVENCE TGV";"LYON PERRACHE";"89";20;"67";""
"173";"AIX EN PROVENCE TGV";"LYON ST EXUPERY";"89";20;"67";""
"174";"AIX EN PROVENCE TGV";"MACON LOCHE TGV";"100";20;"75";""
"175";"AIX EN PROVENCE TGV";"MACON VILLE";"104";20;"81";""
"176";"AIX EN PROVENCE TGV";"MANTES LA J. TGV";"162";NA;"116";""
"177";"AIX EN PROVENCE TGV";"MANTES LA JOLIE";"162";25;"116";""
"178";"AIX EN PROVENCE TGV";"MARNE LA VALLEE CHESSY";"162";25;"116";""
"179";"AIX EN PROVENCE TGV";"MARSEILLE BLANCARDE";"15";NA;"7,7";""
"180";"AIX EN PROVENCE TGV";"MARSEILLE ST CHARLES";"12,6";NA;"6,4";""
